"YEAR","Model_SE_LE","Transm","Engine","TYPE_A","Cond","Color","Auction","Price","Odometer","Model_SE","AutoTrans","AGE","Cyl6","CondBelow","CondAbove","AucType","BLACK","WHITE","RED","BLUE","SILVER","BEIGE","GREEN","GOLD","California","SEATTLE","DALLAS","ORLANDO","Pennsylvan","OHIO"
2013,"4D SEDAN SE","M",6,"Open","Avg","GRAY","DALLAS",17550,23664,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,"4D SEDAN LE","A",4,"Closed","Avg","GRAY","DALLAS",12730,53740,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Above","WHITE","DALLAS",18650,18434,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010,"4D SEDAN LE","A",4,"Open","Avg","GOLD","NASHVILL",7320,126480,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,"4D SEDAN LE","M",4,"Closed","Avg","BLACK","ORLANDO",15515,18291,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,"4D SEDAN SE","A",4,"Open","Avg","SILVER","ORLANDO",13300,53060,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2014,"4D SEDAN LE","A",4,"Open","Above","WHITE","OHIO",14000,16112,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015,"4D SEDAN SE","A",4,"Closed","Avg","GREEN","DALLAS",18880,18301,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,"4D SEDAN SE","A",4,"Closed","Avg","GRAY","DENVER",16980,11495,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN SE","A",4,"Open","Avg","GRAY","NorthCarol",8750,125230,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","M",4,"Open","Avg","SILVER","BALTWASH",13480,42970,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Closed","Below","SILVER","NorthCarol",17080,25525,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN SE","A",4,"Open","Avg","WHITE","DENVER",13680,53910,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",4,"Open","Avg","GRAY","MILWAUKE",15530,35960,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","M",4,"Open","Avg","RED","Pennsylvan",17500,28763,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015,"4D SEDAN LE","A",4,"Closed","Above","BLUE","NASHVILL",17080,1723,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","RED","California",13335,36032,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010,"4D SEDAN LE","A",6,"Open","Avg","RED","NEWENGLD",6600,94949,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","A",4,"Open","Avg","SILVER","California",12185,85180,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","SILVER","DENVER",14400,39128,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN SE","A",6,"Open","Below","WHITE","DALLAS",10600,86684,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015,"4D SEDAN SE","A",6,"Open","Above","WHITE","DALLAS",24700,12534,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2014,"4D SEDAN SE","A",4,"Open","Above","GRAY","ORLANDO",15050,8129,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","WHITE","California",15925,28350,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2013,"4D SEDAN SE","A",6,"Open","Above","GRAY","DENVER",18100,27692,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","M",4,"Open","Avg","WHITE","Pennsylvan",13960,35340,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2011,"4D SEDAN LE","M",4,"Open","Avg","SILVER","NewJersey",10900,52650,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","A",6,"Open","Below","GRAY","NEWENGLD",7400,75403,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN LE","A",4,"Open","Avg","GOLD","ORLANDO",9580,73150,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2012,"4D SEDAN SE","A",4,"Open","Avg","RED","NewJersey",13840,27420,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN SE","A",4,"Open","Avg","RED","DALLAS",13250,40457,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,"4D SEDAN LE","A",4,"Open","Avg","SILVER","DENVER",13250,36024,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","M",4,"Open","Avg","WHITE","NewJersey",15260,30070,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN SE","A",4,"Open","Above","BEIGE","NewJersey",11180,59280,1,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,"4D SEDAN LE","A",6,"Open","Avg","RED","DALLAS",10500,75971,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Below","GRAY","MILWAUKE",12920,52130,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","M",4,"Open","Avg","BLUE","DALLAS",9930,97110,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014,"4D SEDAN LE","A",4,"Closed","Avg","SILVER","ORLANDO",13080,20720,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","GRAY","OHIO",15400,36857,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,"4D SEDAN LE","A",4,"Open","Avg","GREEN","KansasCity",12950,35112,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Open","Avg","BLACK","ATLANTA",14325,32920,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","A",6,"Open","Avg","BEIGE","ORLANDO",15060,21540,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015,"4D SEDAN SE","M",4,"Closed","Avg","WHITE","Pennsylvan",16730,19511,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2011,"4D SEDAN LE","A",4,"Open","Below","BLACK","NASHVILL",8585,115410,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","A",4,"Open","Avg","BLACK","OHIO",13305,40610,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,"4D SEDAN SE","A",4,"Closed","Avg","GRAY","ORLANDO",17780,1754,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN LE","A",4,"Closed","Avg","WHITE","DALLAS",10390,79480,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","BLACK","ORLANDO",15785,43723,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,"4D SEDAN SE","A",4,"Open","Above","BLUE","ORLANDO",19000,4177,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN SE","A",4,"Open","Below","WHITE","NASHVILL",6910,151420,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Closed","Avg","WHITE","ORLANDO",14880,38392,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN SE","A",6,"Open","Avg","GRAY","California",9615,97553,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Closed","Above","SILVER","SEATTLE",15100,33230,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010,"4D SEDAN SE","A",4,"Open","Above","SILVER","KansasCity",12090,39750,1,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","M",6,"Closed","Above","WHITE","DALLAS",17780,26888,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2014,"4D SEDAN SE","A",4,"Closed","Avg","BLACK","ORLANDO",14615,4451,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","A",4,"Open","Below","BLUE","ATLANTA",12510,37830,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN SE","A",6,"Open","Below","WHITE","California",15085,15712,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012,"4D SEDAN SE","A",4,"Open","Avg","GRAY","ORLANDO",15580,29560,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,"4D SEDAN LE","A",4,"Open","Avg","RED","DENVER",12950,39320,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN LE","A",4,"Closed","Avg","GRAY","ORLANDO",16780,14305,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,"4D SEDAN SE","A",4,"Open","Avg","GRAY","BALTWASH",14140,6710,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","A",4,"Open","Below","SILVER","NASHVILL",9650,106100,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN LE","M",4,"Open","Above","WHITE","Pennsylvan",10630,44110,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2012,"4D SEDAN SE","A",4,"Open","Above","BLACK","ORLANDO",15735,38920,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
