"YEAR","Model_SE_LE","Transm","Engine","TYPE_A","Cond","Color","Auction","Price","Odometer","Model_SE","AutoTrans","AGE","Cyl6","CondBelow","CondAbove","AucType","BLACK","WHITE","RED","BLUE","SILVER","BEIGE","GREEN","GOLD","California","SEATTLE","DALLAS","ORLANDO","Pennsylvan","OHIO"
2014,"4D SEDAN SE","A",6,"Open","Avg","WHITE","ORLANDO",16300,38660,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015,"4D SEDAN LE","A",4,"Open","Avg","SILVER","DENVER",15650,21127,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","A",6,"Open","Avg","RED","OHIO",15050,46676,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2013,"4D SEDAN LE","A",4,"Open","Avg","GRAY","NewJersey",12730,54830,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN LE","A",4,"Open","Below","BLACK","Pennsylvan",11885,45015,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,"4D SEDAN SE","M",6,"Open","Avg","GRAY","DALLAS",14700,26256,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,"4D SEDAN SE","A",4,"Open","Avg","RED","MILWAUKE",13000,51470,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN LE","A",4,"Closed","Below","BLACK","ATLANTA",15365,30454,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","A",4,"Open","Above","SILVER","Pennsylvan",13280,40650,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2014,"4D SEDAN LE","A",4,"Open","Avg","WHITE","California",13035,34641,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","GRAY","NorthCarol",8850,119950,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN SE","M",4,"Open","Above","BLUE","NorthCarol",11380,70990,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","M",6,"Open","Below","BLACK","Pennsylvan",13135,63940,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,"4D SEDAN SE","A",4,"Open","Avg","GOLD","DALLAS",18160,19143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,"4D SEDAN SE","A",4,"Closed","Above","GRAY","ORLANDO",14780,21004,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","A",4,"Open","Avg","BLACK","ORLANDO",14395,19540,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,"4D SEDAN SE","M",4,"Open","Avg","GRAY","California",14185,27414,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","BEIGE","ORLANDO",10370,58540,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2010,"4D SEDAN SE","A",6,"Open","Above","RED","California",11335,70822,1,1,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2013,"4D SEDAN SE","A",4,"Open","Below","BLACK","DENVER",12265,48270,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Avg","WHITE","California",18035,26488,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012,"4D SEDAN LE","A",4,"Open","Above","SILVER","MILWAUKE",14710,33040,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Above","BLACK","NewJersey",15785,17568,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN SE","A",6,"Open","Avg","BLACK","KansasCity",14635,35122,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Avg","SILVER","California",17735,25206,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","BLACK","NewJersey",18335,32620,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Open","Avg","GRAY","NASHVILL",12740,56470,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Avg","SILVER","DALLAS",16920,37540,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2012,"4D SEDAN SE","A",4,"Open","Avg","WHITE","Pennsylvan",15540,34190,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2014,"4D SEDAN LE","A",4,"Closed","Avg","GRAY","NorthCarol",13930,37290,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN LE","A",4,"Open","Above","BLUE","California",18035,18990,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2014,"4D SEDAN LE","A",4,"Open","Avg","RED","OHIO",12800,37852,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015,"4D SEDAN LE","A",4,"Open","Above","GRAY","Pennsylvan",17250,10198,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,"4D SEDAN LE","A",6,"Open","Avg","BLUE","NEWENGLD",11200,66124,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN SE","A",4,"Closed","Above","WHITE","California",15485,23070,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012,"4D SEDAN LE","A",6,"Open","Avg","GREEN","NewJersey",16450,28499,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,"4D SEDAN LE","A",4,"Closed","Below","BLUE","ORLANDO",7400,81520,0,1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2013,"4D SEDAN SE","A",4,"Open","Avg","WHITE","DALLAS",14640,49610,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2011,"4D SEDAN LE","A",4,"Open","Below","WHITE","ORLANDO",6250,101470,0,1,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN SE","A",4,"Open","Above","SILVER","DALLAS",16060,14500,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2014,"4D SEDAN SE","A",4,"Closed","Below","BLACK","OHIO",13216,58214,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,"4D SEDAN SE","A",4,"Open","Avg","SILVER","ORLANDO",12760,56280,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","M",6,"Open","Below","BLACK","OHIO",14285,23190,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,"4D SEDAN LE","A",4,"Open","Avg","BLUE","ORLANDO",15500,15900,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","A",4,"Open","Avg","RED","ORLANDO",13170,30180,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN LE","A",4,"Open","Above","GOLD","California",10635,69150,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2013,"4D SEDAN SE","A",6,"Open","Avg","GRAY","DENVER",16150,25158,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN LE","A",6,"Open","Above","SILVER","DALLAS",17550,20993,0,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Below","RED","OHIO",12500,56439,1,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2013,"4D SEDAN SE","A",4,"Open","Avg","WHITE","ORLANDO",13890,53950,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","BLACK","SEATTLE",10615,69680,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,"4D SEDAN LE","A",4,"Closed","Below","RED","ATLANTA",12380,23838,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Avg","BLUE","SEATTLE",17980,11824,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2012,"4D SEDAN LE","A",4,"Open","Avg","SILVER","ATLANTA",14420,29740,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN LE","A",4,"Open","Avg","WHITE","DENVER",13700,44706,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",4,"Open","Below","SILVER","NASHVILL",12210,74260,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",4,"Open","Above","GRAY","DENVER",15560,25290,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN SE","A",4,"Closed","Above","WHITE","DALLAS",11440,61540,1,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015,"4D SEDAN SE","A",4,"Closed","Avg","BLACK","ORLANDO",18015,1797,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,"4D SEDAN SE","A",4,"Open","Avg","GRAY","ORLANDO",17650,4718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,"4D SEDAN LE","M",4,"Open","Above","GRAY","ATLANTA",14600,13050,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"4D SEDAN SE","A",6,"Open","Avg","BLACK","BALTWASH",13205,35410,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"4D SEDAN LE","A",4,"Open","Avg","RED","MILWAUKE",13250,29605,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN SE","A",6,"Open","Avg","BLUE","NEWENGLD",9180,103892,1,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN LE","A",4,"Closed","Avg","GRAY","NEWENGLD",13100,36090,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN LE","M",4,"Open","Above","SILVER","Pennsylvan",17550,9241,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2015,"4D SEDAN LE","A",4,"Open","Below","GRAY","SEATTLE",15030,26280,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
